index;Year;Ciudad;temp_media;dias_temp_30;dias_despejados;dias_desp%;dias_lluvia;dias_lluvia%;Playa;CO;NOx
5;2018;Valencia;18;70;56;15,34246575;103;28,21917808;1;3,505341246;908,4604106
6;2019;Valencia;18,2;76;97;26,57534247;74;20,2739726;1;3,33603352;729,6305556
1;2018;Barcelona;17,8;34;93;25,47945205;113;30,95890411;1;10,35950413;2530,920548
2;2019;Barcelona;17,5;32;123;33,69863014;76;20,82191781;1;8,58;2195,732044
3;2018;Madrid;15,6;86;82;22,46575342;87;23,83561644;0;8,970958904;2263,528767
4;2019;Madrid;16,1;78;119;32,60273973;58;15,89041096;0;2,176285714;2023,801994
7;2018;Bilbao;15,2;13;26;7,123287671;196;53,69863014;1;6,406546961;1075,09589
8;2019;Bilbao;15,2;18;39;10,68493151;178;48,76712329;1;6,307548209;1026,195592
9;2018;Palma;17,4;83;48;13,15068493;91;24,93150685;1;10,45255255;1491,260606
10;2019;Palma;17,4;74;89;24,38356164;59;16,16438356;1;9,401373626;1335,032329
11;2018;Tenerife;16,4;11;39;10,68493151;136;37,26027397;1;9,705785124;165,5452055
12;2019;Tenerife;17,1;13;48;13,15068493;110;30,1369863;1;14,36335404;1104,452012
13;2018;Sevilla;18,8;106;123;33,69863014;92;25,20547945;0;4,897228412;1280,342618
14;2019;Sevilla;19,4;133;165;45,20547945;46;12,60273973;0;4,471745856;1415,99435
